credit_group,performers,observed_exits,mean_entry_age,mean_early_roles,mean_exit_or_censor_age
men-coded,11259,6655,25.9358735234035,4.4011013411493,37.1269206856737
women-coded,9302,5851,24.375940657923,4.64663513222963,35.074715115029
