weighting,credit_group,observations,artists,mean_age,median_age,share_35_plus,share_40_plus,share_50_plus
unique artist-year,men-coded,2719,839,32.5001838911364,31,0.324016182420007,0.177638837808018,0.0570062522986392
unique artist-year,women-coded,1489,494,29.6447280053727,28,0.220282068502351,0.119543317662861,0.0429818670248489
unique artist-week,men-coded,43658,839,31.9417288927573,31,0.319254203124284,0.164414311237345,0.0378166659031564
unique artist-week,women-coded,24507,494,28.3371689721304,27,0.165462928959073,0.0708777084098421,0.0197086546700943
