scope,estimated_change_age,bootstrap_conf_low,bootstrap_conf_high,pre_change_logodds_slope,post_change_logodds_slope,bic_piecewise,bic_linear,release_year_bootstrap_reps
overall,43,42,45,-0.0516779891367021,-0.0134299629584431,825.755444143669,4025.22529024441,500
film,42,41,44,-0.0622840821130999,-0.0178133495044264,616.710042910782,2384.9715750342,500
television,44,43,47,-0.0447545191883076,-0.00902818191284538,657.133118892863,2260.63698404863,500
