credit_group,scope,age,performer_years,performers_at_risk,role_years,roles,opportunity_rate,mean_roles,baseline_rate,normalized_retention
women-coded,film,79,1156,1156,186,245,0.160899653979239,0.211937716262976,0.254360442740806,0.632565552432208
women-coded,film,80,1060,1060,170,206,0.160377358490566,0.194339622641509,0.254360442740806,0.630512184844682
men-coded,overall,19,2541,2541,1344,2144,0.528925619834711,0.843762298307753,0.38824020364729,1.36236694413861
men-coded,overall,20,4301,4301,1943,3149,0.4517554057196,0.732155312717973,0.38824020364729,1.16359769409665
men-coded,overall,21,5985,5985,2490,3969,0.416040100250627,0.663157894736842,0.38824020364729,1.07160488878322
men-coded,overall,22,7826,7826,3058,4994,0.390748786097623,0.638129312547917,0.38824020364729,1.00646141854132
men-coded,overall,23,9925,9925,3712,5984,0.374005037783375,0.602921914357683,0.38824020364729,0.963334127351616
men-coded,overall,24,11658,11658,4455,7255,0.382141019042717,0.622319437296277,0.38824020364729,0.984290177711443
men-coded,overall,25,13599,13599,5269,8713,0.387454959923524,0.640708875652622,0.38824020364729,0.997977428106649
men-coded,overall,26,15698,15698,6107,10183,0.38903044973882,0.64868136068289,0.38824020364729,1.00203545661708
men-coded,overall,27,17660,17660,6886,11859,0.389920724801812,0.671517553793884,0.38824020364729,1.00432856035705
men-coded,overall,28,19371,19371,7454,12982,0.384802023643591,0.670177068814207,0.38824020364729,0.991144193797039
men-coded,overall,29,21083,21083,8066,14167,0.382583123843855,0.671963193093962,0.38824020364729,0.985428918102017
men-coded,overall,30,22320,22320,8637,14946,0.386962365591398,0.669623655913979,0.38824020364729,0.996708640568681
men-coded,overall,31,23397,23397,9018,15936,0.385434030003847,0.68111296320041,0.38824020364729,0.992772068381686
men-coded,overall,32,24246,24246,9401,16628,0.387734059226264,0.68580384393302,0.38824020364729,0.99869631115925
men-coded,overall,33,24825,24825,9706,17458,0.390976837865055,0.703242698892246,0.38824020364729,1.00704881718085
men-coded,overall,34,25027,25027,9755,17632,0.389779038638271,0.704519119351101,0.38824020364729,1.00396361576293
men-coded,overall,35,25179,25179,9778,17820,0.388339489256921,0.707732634338139,0.38824020364729,1.00025573242724
men-coded,overall,36,25088,25088,9730,18004,0.387834821428571,0.717633928571429,0.38824020364729,0.998955846883167
men-coded,overall,37,24912,24912,9699,18033,0.389330443159923,0.723868015414258,0.38824020364729,1.00280815717278
