age,women_exit_hazard,men_exit_hazard,exit_hazard_ratio,ratio_conf_low,ratio_conf_high
20,0.0410617718558612,0.0497489278645968,0.825380035678764,0.736539879683024,0.924935936381694
21,0.0459129613824992,0.0518770450976743,0.885034243875189,0.809311688844565,0.967841714914566
22,0.0508552764374562,0.0537799162294731,0.94561836467841,0.87993831678208,1.0162008797243
23,0.0558738968429052,0.0555474809094735,1.00587634089048,0.944503341248244,1.07123730428107
24,0.0606021591865247,0.0569417932042554,1.06428259062968,1.0012642865217,1.13126718686064
25,0.0655498298885813,0.0585753830558307,1.11906788259674,1.05174171985303,1.19070386029238
26,0.0699254807585897,0.0598451220435791,1.16844077463273,1.09818965273482,1.24318585630855
27,0.0734667749260679,0.0606888451350578,1.2105482442873,1.14159132948116,1.28367044659763
28,0.0762176760796183,0.0612886814778001,1.24358485517796,1.18002910256719,1.31056368750867
29,0.0779208594795063,0.0615219035292848,1.26655475545251,1.20721943533793,1.32880643038217
30,0.0786860210407299,0.0615353280621435,1.27871295268413,1.21740031343149,1.34311351600795
31,0.0785187151023368,0.0613644020044448,1.27954828104818,1.21171859822555,1.35117493940503
32,0.0774799725243118,0.0610646484678604,1.26881877597463,1.19630684519972,1.34572588356041
33,0.0755497989431866,0.0605820329293954,1.24706609022571,1.17598821350591,1.32243998326692
34,0.0728629301114791,0.0598687758762429,1.21704392724009,1.15105799900285,1.28681258643362
35,0.0695872168071271,0.0588753937213023,1.18194057667845,1.11964898742706,1.24769775392666
36,0.0647836941482617,0.0565794100956744,1.14500476478482,1.08116287554036,1.21261647161599
37,0.0596926259511658,0.0538463998378904,1.10857227467158,1.0386352755906,1.18321851476855
38,0.0544245304872326,0.050622837776433,1.07509837215347,0.99809464588717,1.15804299178428
39,0.0490938786621773,0.0469183420061654,1.04636857491098,0.964297466838366,1.13542473377124
40,0.0438243880543976,0.0428675710824615,1.02232029825286,0.937431215558078,1.11489651173778
41,0.0387264330896889,0.0386288535210844,1.00252607985249,0.915790828705435,1.09747609309995
42,0.033889366845618,0.0343484299502426,0.986635106603429,0.896927837592065,1.08531455127508
43,0.0293804925528496,0.0301538093063128,0.974354260000534,0.878048442068345,1.08122306070591
44,0.025245454556059,0.026149349479266,0.965433368660904,0.856839661464273,1.08778996963227
45,0.0215098247187201,0.0224141467611822,0.95965396086242,0.832262004522945,1.10654543832842
46,0.0181815793026497,0.0190020726782758,0.956820848466487,0.804504902243194,1.13797458972273
47,0.0152541270636788,0.0159435931872701,0.956755913457337,0.774344965373965,1.18213705630992
48,0.0127095602283339,0.013248875262454,0.959293523152983,0.742631125887544,1.23916710663514
49,0.0105218465649318,0.0109116423589979,0.964277073859133,0.710083872845778,1.30946541771732
50,0.00865974894540145,0.00891327592420055,0.971556251488777,0.677266236971976,1.39372302689582
51,0.00708933417800546,0.00722675310583389,0.980984693151133,0.644607436046746,1.49289461210471
52,0.00577600360871313,0.00582013286480888,0.992417826685267,0.612432692056996,1.6081655265899
53,0.00468603627184568,0.0046594274556197,1.00571074804349,0.580987595628204,1.74092203747749
54,0.00378767769360405,0.0037108044285606,1.02071606481112,0.550456204418277,1.89272330223716
55,0.00305183374183031,0.0029421455919166,1.03728168660826,0.520974325068143,2.06527125349632
