scope,age,women_retention,men_retention,retention_ratio
film,19,1.29952247645219,1.05817270239498,1.2280816482139
film,20,1.24274736206872,0.997198173945912,1.24623910726909
film,21,1.23946010445599,0.980389346455765,1.26425293067168
film,22,1.20067132163983,0.956007707340989,1.25592221947598
film,23,1.12394792986423,0.896028780565105,1.25436588002829
film,24,1.12497965965285,0.939508461980547,1.19741301454733
film,25,1.12982954465637,0.960698032255297,1.17605064934298
film,26,1.1001890928262,0.956125517888625,1.15067433327761
film,27,1.05854174927116,0.999833917390757,1.05871758384994
film,28,1.05349082251583,0.969230097311248,1.08693572913009
film,29,1.0251783007485,0.997647482308602,1.02759573790152
film,30,1.03221631639057,0.973602922591604,1.06020256558284
film,31,1.00864561937893,0.997082976381036,1.0115964701753
film,32,1.00557579354116,1.00215220094957,1.00341624015628
film,33,0.980953795221667,1.01146110131101,0.969838379301191
film,34,0.970539931134399,1.01224157505311,0.958802676212423
film,35,0.947717680146597,1.01434008516807,0.934319459522853
film,36,0.935636909445626,1.01907090047914,0.918127393300816
film,37,0.91882191505773,1.0285974630832,0.893276474067495
film,38,0.895122378527377,1.03540178989929,0.864516931745347
film,39,0.911798832637406,1.03451285835642,0.881379893224355
film,40,0.931037366646544,1.03978065304383,0.895417090057452
film,41,0.939433207817542,1.0610912979932,0.885346255872853
film,42,0.931887138168192,1.06403050693846,0.875808665345053
film,43,0.930901689606206,1.0363133212188,0.898282083753766
film,44,0.967058227521669,1.06991950541675,0.903860732163196
film,45,0.929469863151868,1.1027004735759,0.842903295522971
film,46,0.944621167779721,1.07014059867961,0.882707532958973
film,47,0.945865461276682,1.08792773528697,0.869419383840953
film,48,0.946150285398166,1.06818777184655,0.88575277711949
film,49,0.927406891978673,1.08787473624224,0.852494189893718
film,50,0.926751025019857,1.05814786382631,0.875823745150967
film,51,0.986895578331707,1.08250899219969,0.911674254387769
film,52,0.918920077317244,1.06848653591096,0.860020268326356
film,53,0.942000874655282,1.05071034888056,0.896537162367255
film,54,0.932375504720273,1.04949962182338,0.888400038773128
film,55,0.891358618527151,1.04887354088381,0.849824677411607
film,56,0.90470583704258,1.09061161570759,0.829539887538795
film,57,0.944243142256074,1.06470120720662,0.886862094139457
film,58,0.86510660771153,1.05645198556637,0.818879248210926
film,59,0.876376383712915,1.03947446352448,0.843095635790261
film,60,0.85089277250759,1.06294139415882,0.800507701726079
film,61,0.89434765140209,1.01612863619905,0.880151999994318
film,62,0.798071103114122,1.0415234124536,0.766253637288905
film,63,0.884436683719838,0.997016547850589,0.887083254161171
film,64,0.796930706244358,1.02473288180981,0.777696041954732
film,65,0.865868158048535,0.973872180764687,0.889098359261739
film,66,0.81204504603554,0.95994284205742,0.845930622593222
film,67,0.821965418241116,0.923669708153696,0.88989106277408
film,68,0.854810467115823,0.927833305508459,0.9212974594045
film,69,0.766929932769193,0.900785244393257,0.851401527215042
film,70,0.739632068371475,0.882923231992863,0.837708241861568
film,71,0.746651214939171,0.848223243897394,0.880253188427703
film,72,0.722142534776189,0.850004692991515,0.849574762034164
film,73,0.763948119150716,0.818494608262402,0.933357546206096
film,74,0.663104157114035,0.835200597247468,0.793945980521801
film,75,0.692773588783634,0.808132231379599,0.857252763698051
film,76,0.63562024410901,0.744766919133452,0.85344854581963
film,77,0.583571479906797,0.757927518239461,0.769956843976765
film,78,0.65217629235034,0.728591639356545,0.895119099810573
film,79,0.632565552432208,0.674025373908608,0.938489227436679
film,80,0.630512184844682,0.709207338269909,0.88903787485166
overall,19,1.44451437674968,1.36236694413861,1.06029758206076
overall,20,1.28705844114058,1.16359769409665,1.10610260545401
overall,21,1.20218001491579,1.07160488878322,1.1218500657279
overall,22,1.14504619687065,1.00646141854132,1.13769507283267
overall,23,1.10031780856749,0.963334127351616,1.14219747575275
overall,24,1.1019180268221,0.984290177711443,1.1195052554361
overall,25,1.08255204715615,0.997977428106649,1.08474602397567
overall,26,1.08070172880042,1.00203545661708,1.07850647565798
overall,27,1.05927572697375,1.00432856035705,1.05471034956644
overall,28,1.04790245194279,0.991144193797039,1.05726538933585
overall,29,1.01488692338569,0.985428918102017,1.02989358719086
overall,30,1.0156509408047,0.996708640568681,1.019004852035
overall,31,1.0077609299544,0.992772068381686,1.01509798880336
overall,32,0.996914773219891,0.99869631115925,0.998216136457647
overall,33,0.994913598310136,1.00704881718085,0.987949721340534
overall,34,0.983506795967695,1.00396361576293,0.979623943065214
overall,35,0.968337781369171,1.00025573242724,0.968090209310157
overall,36,0.970286043758373,0.998955846883167,0.971300229920826
overall,37,0.947687685678633,1.00280815717278,0.945033882004363
overall,38,0.954252159321454,1.01051697040365,0.944320765776236
overall,39,0.965507820677143,1.01521145207601,0.951041104493817
overall,40,0.969060695039843,1.03048339845167,0.940394281456528
overall,41,0.981756733923889,1.02295751860005,0.959723855656741
overall,42,0.994940036443501,1.03689812040734,0.959534998532592
overall,43,0.977956470278669,1.01617302536914,0.962391685139855
overall,44,0.982108643707301,1.03301674621565,0.950718995897361
overall,45,0.990348991913043,1.03759277748575,0.954467892801662
overall,46,0.976776432305482,1.02919985240743,0.949063906315842
overall,47,0.967324927743985,1.03239875249429,0.936968322953617
overall,48,0.983846344096781,1.01420556926636,0.970066004280035
overall,49,0.9802536473296,1.01640490868438,0.964432224750299
overall,50,0.974178423521238,1.01603948842981,0.958799765771638
overall,51,0.997649022406739,1.01630455261698,0.981643760069557
overall,52,0.991767934161761,1.01402881214115,0.978047095198032
overall,53,0.98956588904392,1.00350735886321,0.986107257015947
overall,54,0.963343059276876,0.997407731051776,0.965846793929521
overall,55,0.947109229540076,0.971641096913966,0.974752130748889
overall,56,0.925190461943146,0.997332856305114,0.927664676937208
