scope,age,women_roles,men_roles,women_share,classification_threshold,prominence
film,21,1617,976,0.623602005399152,0.8,top-3
film,66,356,1124,0.240540540540541,0.8,top-3
film,61,407,1500,0.213424226533823,0.8,top-3
film,48,976,2615,0.271790587580061,0.8,top-3
film,46,1158,2911,0.28459080855247,0.8,top-3
film,59,505,1668,0.232397606994938,0.8,top-3
television,27,3774,3486,0.519834710743802,0.8,top-3
television,21,1801,1452,0.553642791269597,0.8,top-3
television,57,747,1750,0.299158990788947,0.8,top-3
television,66,409,838,0.327987169206095,0.8,top-3
television,46,1608,3049,0.34528666523513,0.8,top-3
television,25,3259,2800,0.53787753754745,0.8,top-3
television,59,665,1489,0.308727948003714,0.8,top-3
television,48,1389,2771,0.333894230769231,0.8,top-3
television,61,601,1348,0.308363263211904,0.8,top-3
overall,40,3999,7283,0.354458429356497,0.8,top-3
overall,69,589,1494,0.28276524243879,0.8,top-3
overall,20,2769,2003,0.580259849119866,0.8,top-3
overall,23,4776,3475,0.578838928614713,0.8,top-3
overall,36,5183,7796,0.399337391170352,0.8,top-3
overall,38,4479,7514,0.373467856249479,0.8,top-3
overall,45,3049,6201,0.329621621621622,0.8,top-3
overall,51,1933,4760,0.2888092036456,0.8,top-3
overall,58,1211,3420,0.261498596415461,0.8,top-3
overall,41,3745,6969,0.349542654470786,0.8,top-3
overall,43,3326,6574,0.335959595959596,0.8,top-3
overall,33,6083,7715,0.440860994347007,0.8,top-3
overall,53,1757,4445,0.283295711060948,0.8,top-3
overall,24,5549,4170,0.570943512707069,0.8,top-3
overall,56,1393,3853,0.265535646206634,0.8,top-3
overall,68,651,1626,0.285902503293808,0.8,top-3
film,49,1459,4221,0.256866197183099,0.8,top-5
film,42,2200,4833,0.31281103369828,0.8,top-5
film,47,1722,4311,0.285430134261561,0.8,top-5
film,34,3853,5104,0.430166350340516,0.8,top-5
film,39,2615,5027,0.342187908924365,0.8,top-5
film,28,4530,4096,0.525156503593786,0.8,top-5
film,29,4570,4379,0.510671583417142,0.8,top-5
film,63,681,2099,0.244964028776978,0.8,top-5
film,60,794,2685,0.228226501868353,0.8,top-5
film,70,412,1373,0.230812324929972,0.8,top-5
television,28,5745,5410,0.515015688032273,0.8,top-5
television,42,3089,5609,0.355139112439641,0.8,top-5
television,70,522,973,0.349163879598662,0.8,top-5
television,47,2271,4530,0.33392148213498,0.8,top-5
television,29,5681,5673,0.500352298749339,0.8,top-5
television,34,4847,6316,0.434202275374003,0.8,top-5
television,39,3542,5759,0.380819266745511,0.8,top-5
television,50,1881,4160,0.311372289356067,0.8,top-5
television,60,978,2321,0.296453470748712,0.8,top-5
television,49,2022,4337,0.317974524296273,0.8,top-5
film,50,1352,3941,0.255431702248252,0.8,top-5
television,63,816,1873,0.30345853477129,0.8,top-5
overall,44,4791,9945,0.325122149837134,0.8,top-5
overall,26,9453,7878,0.545438809070452,0.8,top-5
overall,37,6970,11262,0.382294866169373,0.8,top-5
overall,22,5896,4405,0.572371614406368,0.8,top-5
overall,31,9773,10924,0.472194037783254,0.8,top-5
overall,30,9984,10407,0.489627776960424,0.8,top-5
overall,32,9476,11155,0.459308807134894,0.8,top-5
overall,54,2713,6709,0.287943111865846,0.8,top-5
overall,64,1393,3781,0.269230769230769,0.8,top-5
overall,62,1529,4370,0.25919647397864,0.8,top-5
overall,35,8082,11467,0.413422681467083,0.8,top-5
overall,52,3070,7471,0.291243715017551,0.8,top-5
overall,55,2434,6426,0.274717832957111,0.8,top-5
overall,65,1313,3521,0.271617707902358,0.8,top-5
overall,67,1174,3073,0.276430421473982,0.8,top-5
film,37,3048,5155,0.371571376325735,0.8,top-5
film,30,4452,4525,0.49593405369277,0.8,top-5
film,52,1287,3710,0.257554532719632,0.8,top-5
film,31,4370,4780,0.477595628415301,0.8,top-5
film,26,4272,3389,0.557629552277771,0.8,top-5
film,54,1203,3353,0.26404741000878,0.8,top-5
film,32,4196,4962,0.458178641624809,0.8,top-5
film,35,3567,5190,0.407331277834875,0.8,top-5
film,64,636,2056,0.236255572065379,0.8,top-5
film,44,1991,4675,0.298679867986799,0.8,top-5
film,67,538,1694,0.241039426523298,0.8,top-5
film,55,1043,3210,0.245238655067012,0.8,top-5
film,62,666,2376,0.218934911242604,0.8,top-5
television,26,5181,4489,0.535780765253361,0.8,top-5
television,32,5280,6193,0.460210930009588,0.8,top-5
television,37,3922,6107,0.391065908864294,0.8,top-5
television,52,1783,3761,0.321608946608947,0.8,top-5
television,44,2800,5270,0.346964064436183,0.8,top-5
television,54,1510,3356,0.310316481709823,0.8,top-5
television,22,3154,2515,0.556359146233904,0.8,top-5
television,55,1391,3216,0.30193184284784,0.8,top-5
television,31,5403,6144,0.467913743829566,0.8,top-5
television,35,4515,6277,0.418365455893254,0.8,top-5
television,30,5532,5882,0.484667951638339,0.8,top-5
television,64,757,1725,0.304995970991136,0.8,top-5
television,62,863,1994,0.302065103255163,0.8,top-5
television,65,744,1560,0.322916666666667,0.8,top-5
film,65,569,1961,0.224901185770751,0.8,top-5
film,22,2742,1890,0.591968911917098,0.8,top-5
television,67,636,1379,0.315632754342432,0.8,top-5
overall,34,8700,11420,0.432405566600398,0.8,top-5
overall,28,10275,9506,0.519437844396138,0.8,top-5
overall,47,3993,8841,0.311126694717158,0.8,top-5
overall,39,6157,10786,0.363394912353184,0.8,top-5
overall,60,1772,5006,0.261434051342579,0.8,top-5
overall,42,5289,10442,0.336215116648656,0.8,top-5
overall,29,10251,10052,0.504900753583214,0.8,top-5
overall,70,934,2346,0.284756097560976,0.8,top-5
overall,50,3233,8101,0.285247926592553,0.8,top-5
overall,49,3481,8558,0.28914361657945,0.8,top-5
overall,63,1497,3972,0.273724629731212,0.8,top-5
film,40,2560,5021,0.337686321065823,0.8,top-5
film,51,1356,3739,0.266143277723258,0.8,top-5
film,41,2431,4933,0.330119500271592,0.8,top-5
film,20,1792,1146,0.609938733832539,0.8,top-5
film,38,2813,5196,0.3512298664003,0.8,top-5
film,53,1269,3563,0.26262417218543,0.8,top-5
film,33,3895,5108,0.432633566588915,0.8,top-5
film,45,1929,4607,0.295134638922889,0.8,top-5
film,23,3241,2105,0.606247661803217,0.8,top-5
film,58,850,2893,0.22709056906225,0.8,top-5
film,36,3261,5269,0.382297772567409,0.8,top-5
film,24,3670,2588,0.586449344838607,0.8,top-5
film,56,1013,3247,0.237793427230047,0.8,top-5
film,43,2078,4666,0.308125741399763,0.8,top-5
television,24,4351,3434,0.558895311496468,0.8,top-5
television,58,1138,2628,0.302177376526819,0.8,top-5
television,51,1809,3968,0.313138307079799,0.8,top-5
television,23,3734,2944,0.559149445941899,0.8,top-5
television,33,5002,6338,0.441093474426808,0.8,top-5
television,45,2695,5012,0.349682107175295,0.8,top-5
television,40,3393,5956,0.362926516204942,0.8,top-5
television,20,2214,1810,0.550198807157058,0.8,top-5
television,36,4317,6249,0.408574673480977,0.8,top-5
television,41,3247,5657,0.364667565139263,0.8,top-5
television,53,1565,3560,0.305365853658537,0.8,top-5
television,38,3830,5965,0.391015824400204,0.8,top-5
television,43,2983,5418,0.355076776574217,0.8,top-5
television,68,591,1175,0.334654586636467,0.8,top-5
film,69,455,1388,0.246880086814976,0.8,top-5
film,68,512,1568,0.246153846153846,0.8,top-5
television,56,1226,2988,0.29093497864262,0.8,top-5
television,69,540,1080,0.333333333333333,0.8,top-5
overall,27,9904,8881,0.527229172211871,0.8,top-5
overall,21,4901,3549,0.58,0.8,top-5
overall,59,1928,5125,0.273358854388204,0.8,top-5
overall,57,2156,5827,0.270073907052487,0.8,top-5
overall,46,4265,9301,0.314388913460121,0.8,top-5
overall,66,1277,3336,0.276826360286148,0.8,top-5
overall,25,8702,7070,0.551737255896525,0.8,top-5
overall,48,3722,8561,0.303020434747212,0.8,top-5
overall,61,1722,4602,0.272296015180266,0.8,top-5
film,48,1555,4169,0.271663172606569,0.8,top-5
film,27,4420,3814,0.536798639786252,0.8,top-5
film,25,3953,2982,0.570007209805335,0.8,top-5
film,61,759,2442,0.237113402061856,0.8,top-5
film,66,589,1911,0.2356,0.8,top-5
film,46,1802,4485,0.286623190710991,0.8,top-5
film,21,2285,1456,0.610799251537022,0.8,top-5
film,57,951,3013,0.239909182643794,0.8,top-5
television,27,5484,5067,0.519761160079613,0.8,top-5
television,21,2616,2093,0.555531960076449,0.8,top-5
television,57,1205,2814,0.299825827320229,0.8,top-5
television,25,4749,4088,0.537399569989816,0.8,top-5
television,61,963,2160,0.30835734870317,0.8,top-5
television,59,1090,2386,0.313578826237054,0.8,top-5
television,48,2167,4392,0.330385729531941,0.8,top-5
television,66,688,1425,0.32560340747752,0.8,top-5
television,46,2463,4816,0.338370655309795,0.8,top-5
film,59,838,2739,0.2342745317305,0.8,top-5
overall,36,7578,11518,0.396837033933808,0.8,top-5
overall,43,5061,10084,0.334169692967976,0.8,top-5
overall,24,8021,6022,0.571174250516271,0.8,top-5
overall,56,2239,6235,0.264219966957753,0.8,top-5
overall,45,4624,9619,0.324650705609773,0.8,top-5
overall,33,8897,11446,0.437349456815612,0.8,top-5
overall,23,6975,5049,0.580089820359282,0.8,top-5
overall,38,6643,11161,0.37311840035947,0.8,top-5
overall,20,4006,2956,0.575409365124964,0.8,top-5
overall,51,3165,7707,0.291114790286976,0.8,top-5
overall,40,5953,10977,0.351624335499114,0.8,top-5
overall,58,1988,5521,0.26474896790518,0.8,top-5
overall,41,5678,10590,0.34902876813376,0.8,top-5
overall,69,995,2468,0.287323130233901,0.8,top-5
overall,68,1103,2743,0.286791471658866,0.8,top-5
overall,53,2834,7123,0.284623882695591,0.8,top-5
television,52,3761,8298,0.311883240733062,0.8,all-principal
television,32,9434,11366,0.453557692307692,0.8,all-principal
television,31,9698,11136,0.465489104348661,0.8,all-principal
television,22,5511,4461,0.552647412755716,0.8,all-principal
television,64,1718,3984,0.301297790249035,0.8,all-principal
television,35,8421,11735,0.417791228418337,0.8,all-principal
television,26,9043,7964,0.531722232022109,0.8,all-principal
television,37,7453,11727,0.388581856100104,0.8,all-principal
television,67,1400,3082,0.312360553324409,0.8,all-principal
television,30,9837,10574,0.481946009504679,0.8,all-principal
film,32,6259,7938,0.440867788969501,0.8,all-principal
film,52,2205,6610,0.250141803743619,0.8,all-principal
film,26,6407,5488,0.538629676334594,0.8,all-principal
film,64,1124,3721,0.231991744066047,0.8,all-principal
film,35,5433,8317,0.395127272727273,0.8,all-principal
film,22,4072,2965,0.578655677135143,0.8,all-principal
film,55,1851,5699,0.245165562913907,0.8,all-principal
film,54,2030,5976,0.253559830127404,0.8,all-principal
film,30,6647,7262,0.477892012366094,0.8,all-principal
film,37,4645,8455,0.354580152671756,0.8,all-principal
film,65,1096,3501,0.23841635849467,0.8,all-principal
film,31,6536,7681,0.459731307589506,0.8,all-principal
film,44,3329,7805,0.298994072211245,0.8,all-principal
film,62,1235,4210,0.226813590449954,0.8,all-principal
film,67,970,2987,0.245135203436947,0.8,all-principal
television,54,3271,7536,0.30267419265291,0.8,all-principal
television,62,1935,4679,0.292561233746598,0.8,all-principal
television,55,2998,7091,0.297155317672713,0.8,all-principal
television,44,5492,10974,0.333535770678975,0.8,all-principal
television,65,1667,3608,0.316018957345972,0.8,all-principal
overall,28,16552,16166,0.505898893575402,0.8,all-principal
overall,34,14640,20052,0.421999308197855,0.8,all-principal
overall,50,6315,15978,0.283272776207778,0.8,all-principal
overall,42,9661,19501,0.331287291680955,0.8,all-principal
overall,39,10946,19853,0.355401149387967,0.8,all-principal
overall,47,7436,17368,0.29979035639413,0.8,all-principal
overall,29,16551,17174,0.490763528539659,0.8,all-principal
overall,60,3527,9992,0.260892077816407,0.8,all-principal
overall,49,6834,16578,0.291901588928755,0.8,all-principal
overall,63,3084,8205,0.27318628753654,0.8,all-principal
overall,70,1933,4684,0.292126341242255,0.8,all-principal
television,28,9815,9648,0.504290191645687,0.8,all-principal
television,34,8862,11757,0.429797759348174,0.8,all-principal
television,50,3963,9096,0.30346887204227,0.8,all-principal
television,42,6130,11430,0.349088838268793,0.8,all-principal
television,39,6832,11519,0.372295787695493,0.8,all-principal
television,47,4572,9906,0.315789473684211,0.8,all-principal
television,29,9801,10122,0.491943984339708,0.8,all-principal
television,60,2113,5250,0.286975417628684,0.8,all-principal
television,49,4299,9381,0.314254385964912,0.8,all-principal
film,42,3531,8071,0.304344078607137,0.8,all-principal
film,29,6750,7052,0.489059556586002,0.8,all-principal
film,63,1236,3877,0.241736749462155,0.8,all-principal
film,47,2864,7462,0.277358125121054,0.8,all-principal
film,34,5778,8295,0.410573438499254,0.8,all-principal
film,49,2535,7197,0.260480887792848,0.8,all-principal
film,50,2352,6882,0.254710851202079,0.8,all-principal
film,28,6737,6518,0.508261033572237,0.8,all-principal
film,39,4114,8334,0.330494858611825,0.8,all-principal
film,60,1414,4742,0.229694606887589,0.8,all-principal
film,70,782,2413,0.244757433489828,0.8,all-principal
television,63,1848,4328,0.299222797927461,0.8,all-principal
television,70,1151,2271,0.33635300993571,0.8,all-principal
overall,52,5966,14908,0.285810098687362,0.8,all-principal
overall,32,15693,19304,0.448409863702603,0.8,all-principal
overall,31,16234,18817,0.463153690336938,0.8,all-principal
overall,22,9583,7426,0.56340760773708,0.8,all-principal
overall,64,2842,7705,0.269460510097658,0.8,all-principal
overall,35,13854,20052,0.408600247743762,0.8,all-principal
overall,26,15450,13452,0.534565082001246,0.8,all-principal
overall,37,12098,20182,0.374783147459727,0.8,all-principal
overall,67,2370,6069,0.280838961962318,0.8,all-principal
overall,30,16484,17836,0.48030303030303,0.8,all-principal
overall,55,4849,12790,0.274902205340439,0.8,all-principal
overall,54,5301,13512,0.281773241907192,0.8,all-principal
overall,65,2763,7109,0.279882495948136,0.8,all-principal
overall,44,8821,18779,0.319601449275362,0.8,all-principal
overall,62,3170,8889,0.262874201840949,0.8,all-principal
television,36,8035,11768,0.405746604049891,0.8,all-principal
television,43,5828,11212,0.342018779342723,0.8,all-principal
television,24,7568,6173,0.550760497780365,0.8,all-principal
television,45,5351,10595,0.335570048915088,0.8,all-principal
television,20,3843,3165,0.548373287671233,0.8,all-principal
television,33,9161,11793,0.437195762145652,0.8,all-principal
television,40,6521,11642,0.359026592523262,0.8,all-principal
television,23,6521,5248,0.554082759792676,0.8,all-principal
television,41,6369,11476,0.356906696553657,0.8,all-principal
television,56,2737,6750,0.2885000527037,0.8,all-principal
television,53,3453,7997,0.301572052401747,0.8,all-principal
television,51,3850,8596,0.30933633295838,0.8,all-principal
television,58,2438,5964,0.290169007379195,0.8,all-principal
film,36,4981,8515,0.36907231772377,0.8,all-principal
film,69,829,2525,0.24716756112105,0.8,all-principal
film,51,2325,6651,0.259024064171123,0.8,all-principal
film,23,4844,3406,0.587151515151515,0.8,all-principal
film,45,3117,7834,0.284631540498585,0.8,all-principal
film,43,3394,7802,0.303143979992855,0.8,all-principal
film,41,3846,8140,0.320874353412314,0.8,all-principal
film,40,3958,8331,0.322076653918138,0.8,all-principal
film,68,915,2758,0.249115164715491,0.8,all-principal
film,24,5487,4144,0.569722770221161,0.8,all-principal
film,58,1520,5219,0.225552752633922,0.8,all-principal
film,56,1755,5701,0.235380901287554,0.8,all-principal
film,33,5892,8234,0.417103213931757,0.8,all-principal
film,53,2201,6267,0.259919697685404,0.8,all-principal
film,38,4380,8475,0.340723453908985,0.8,all-principal
film,20,2680,1878,0.587977182974989,0.8,all-principal
television,68,1268,2761,0.314718292380243,0.8,all-principal
television,69,1184,2530,0.318793753365644,0.8,all-principal
television,38,7245,11678,0.382867410030122,0.8,all-principal
overall,21,7994,6092,0.567513843532586,0.8,all-principal
overall,59,3853,10438,0.269610244209642,0.8,all-principal
overall,48,7204,16729,0.301006977813061,0.8,all-principal
overall,25,14205,11963,0.542838581473555,0.8,all-principal
overall,27,16213,14953,0.520214336135532,0.8,all-principal
overall,66,2524,6560,0.277851166886834,0.8,all-principal
overall,61,3508,9310,0.2736776408176,0.8,all-principal
overall,46,7874,17806,0.306619937694704,0.8,all-principal
overall,57,4322,11744,0.269015311838666,0.8,all-principal
television,21,4603,3675,0.556052186518483,0.8,all-principal
television,59,2329,5548,0.29567094071347,0.8,all-principal
television,48,4545,9520,0.323142552435123,0.8,all-principal
television,25,8259,7220,0.533561599586537,0.8,all-principal
television,27,9569,8943,0.516907951598963,0.8,all-principal
television,66,1512,3284,0.315262718932444,0.8,all-principal
television,61,2123,4916,0.301605341667851,0.8,all-principal
television,46,4887,10175,0.324458903200106,0.8,all-principal
television,57,2608,6369,0.290520218335747,0.8,all-principal
film,46,2987,7631,0.281314748540215,0.8,all-principal
film,21,3391,2417,0.583849862258953,0.8,all-principal
film,27,6644,6010,0.52505136715663,0.8,all-principal
film,25,5946,4743,0.556272803817008,0.8,all-principal
film,61,1385,4394,0.239660840975947,0.8,all-principal
film,57,1714,5375,0.241783044152913,0.8,all-principal
film,59,1524,4890,0.237605238540692,0.8,all-principal
film,66,1012,3276,0.236007462686567,0.8,all-principal
film,48,2659,7209,0.269456830158087,0.8,all-principal
overall,36,13016,20283,0.39088260908736,0.8,all-principal
overall,43,9222,19014,0.326604334891628,0.8,all-principal
overall,24,13055,10317,0.558574362485025,0.8,all-principal
overall,45,8468,18429,0.314830650258393,0.8,all-principal
overall,20,6523,5043,0.563980632889504,0.8,all-principal
overall,33,15053,20027,0.429104903078677,0.8,all-principal
overall,40,10479,19973,0.344115329042427,0.8,all-principal
overall,23,11365,8654,0.567710674858884,0.8,all-principal
overall,41,10215,19616,0.34242901679461,0.8,all-principal
overall,56,4492,12451,0.265124240099156,0.8,all-principal
overall,53,5654,14264,0.28386384175118,0.8,all-principal
overall,51,6175,15247,0.288255064886565,0.8,all-principal
overall,58,3958,11183,0.261409418136187,0.8,all-principal
overall,69,2013,5055,0.284804753820034,0.8,all-principal
overall,68,2183,5519,0.283432874578032,0.8,all-principal
overall,38,11625,20153,0.365819120146013,0.8,all-principal
television,60,621,1440,0.301310043668122,0.9,top-3
television,39,2398,3823,0.385468574184215,0.9,top-3
television,28,3875,3680,0.512905360688286,0.9,top-3
television,42,2038,3623,0.360007065889419,0.9,top-3
television,50,1217,2615,0.31758872651357,0.9,top-3
television,49,1325,2768,0.323723430246763,0.9,top-3
television,47,1452,2863,0.336500579374276,0.9,top-3
television,29,3787,3872,0.494450972711842,0.9,top-3
television,34,3270,4242,0.435303514376997,0.9,top-3
television,63,496,1142,0.302808302808303,0.9,top-3
television,70,318,584,0.352549889135255,0.9,top-3
film,63,372,1251,0.229205175600739,0.9,top-3
film,47,1084,2734,0.283918281822944,0.9,top-3
film,34,2641,3478,0.431606471645694,0.9,top-3
film,29,3200,2969,0.518722645485492,0.9,top-3
film,42,1482,3222,0.315051020408163,0.9,top-3
film,28,3127,2796,0.527941921323654,0.9,top-3
film,60,468,1620,0.224137931034483,0.9,top-3
film,49,924,2694,0.255389718076285,0.9,top-3
film,50,850,2407,0.26097635861222,0.9,top-3
film,39,1819,3429,0.346608231707317,0.9,top-3
film,70,225,856,0.208140610545791,0.9,top-3
overall,37,4790,7536,0.388609443452864,0.9,top-3
overall,30,6949,7061,0.496002855103498,0.9,top-3
overall,32,6454,7590,0.45955568214184,0.9,top-3
overall,26,6433,5401,0.543603177285787,0.9,top-3
overall,35,5549,7865,0.413672282689727,0.9,top-3
overall,31,6720,7541,0.471215202299979,0.9,top-3
overall,44,3114,6468,0.32498434564809,0.9,top-3
overall,54,1706,4192,0.289250593421499,0.9,top-3
overall,22,4049,3047,0.570603156708005,0.9,top-3
overall,62,916,2689,0.254091539528433,0.9,top-3
overall,64,819,2312,0.261577770680294,0.9,top-3
overall,52,1883,4640,0.288670856967653,0.9,top-3
overall,55,1495,3948,0.274664706963072,0.9,top-3
overall,67,702,1924,0.267326732673267,0.9,top-3
overall,65,760,2131,0.262884814942926,0.9,top-3
television,44,1835,3402,0.350391445484056,0.9,top-3
television,32,3511,4217,0.454321946169772,0.9,top-3
television,30,3770,4013,0.484389053064371,0.9,top-3
television,54,981,2115,0.316860465116279,0.9,top-3
television,22,2146,1743,0.551812805348419,0.9,top-3
television,52,1114,2362,0.3204833141542,0.9,top-3
television,64,461,1061,0.302890932982917,0.9,top-3
television,67,395,849,0.317524115755627,0.9,top-3
television,35,3033,4284,0.414514145141451,0.9,top-3
television,31,3632,4234,0.461734045258073,0.9,top-3
television,26,3543,3069,0.535843920145191,0.9,top-3
television,37,2666,4073,0.395607656922392,0.9,top-3
television,55,896,2008,0.308539944903581,0.9,top-3
