period,credit_group,artist_years,artists,mean_age,median_age,age_q1,age_q3,share_35_plus,share_40_plus,share_50_plus
1995-2004,men-coded,762,337,32.507874015748,30.5,26.25,37,0.334645669291339,0.183727034120735,0.0498687664041995
1995-2004,women-coded,557,236,28.5763016157989,28,23,33,0.206463195691203,0.0951526032315978,0.0197486535008977
2005-2014,men-coded,855,325,32.3052631578947,31,26,36,0.330994152046784,0.160233918128655,0.0456140350877193
2005-2014,women-coded,454,188,29.0286343612335,27,23,32,0.202643171806167,0.116740088105727,0.0374449339207048
2015-2025,men-coded,1102,370,32.6460980036298,30,25,37,0.311252268602541,0.186932849364791,0.0707803992740472
2015-2025,women-coded,478,174,31.4748953974895,28,24,35,0.253138075313808,0.150627615062762,0.0753138075313808
